"User Name","Avatar","Country","Room Info","Stay Date","Traveller Type","Review Title","Rating","Happy Review","Unhappy Review","Review Date","Scraped At"
"Simon","https://lh3.googleusercontent.com/a/AATXAJwxq2sCtRzZkWOeXfWRgu30N91N-sYDQMUsaWKU=s96-c","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Couple

","
Clean & Comfy but take your own food!!
"," 7.0 ","Clean, Modern, comfortable","Restaurant and Menu!
Third time I’ve been here.
It’s the start of your holidays. 
At least provide a decent menu so we can start off as we mean to go on!","
Reviewed: 28 April 2024
","2024-05-01T11:22:34.402Z"
"Charlotte","https://lh3.googleusercontent.com/a/AATXAJwcFFH1-FMbxn0j-8g7kBPJxTT3ilu8evfkfhdx=s96-c","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

March 2024


","




Solo traveller

","
Very good
"," 8.0 ","Really well managed hotel with good processes in place to make guests stay comfortable. The staff are the stand out attribute, clearly great training takes place and the staff were extremely helpful, and a real asset to the hotel.","The breakfast could be improved significantly. The dinner menu whilst good variety, the quality of the food has room for improvement. The desk chairs in the room were sticky, I think it’s from the type of material they are made from.","
Reviewed: 27 April 2024
","2024-05-01T11:22:34.402Z"
"Betty","https://cf.bstatic.com/static/img/review/avatars/ava-b/8103dfb0481c4cedc201d849f5666a270512f538.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Our stay helped us to recharge ready for our long drive home.
"," 7.0 ","After a long flight during the night,  the hotel was much appreciated and the member of staff that greeted us was most helpful and welcoming.","Decor of our room and public areas looked dated and tired.","
Reviewed: 26 April 2024
","2024-05-01T11:22:34.402Z"
"Keith","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

April 2024


","




Couple

","
Perfect location for pre flight stay
"," 9.0 ","Free breakfast and location","Nothing","
Reviewed: 25 April 2024
","2024-05-01T11:22:34.402Z"
"Paul","https://graph.facebook.com/v2.9/10155609695529681/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Group

","
Really good.
"," 7.0 ","Location, very clean, comfy bed, friendly staff.","Breakfast sausage could be better quality.","
Reviewed: 25 April 2024
","2024-05-01T11:22:34.402Z"
"Peter","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Group

","
Only one night, but comfortable
"," 8.0 ","Breakfast was fine, except for toasting machine. Better when dial adjusted.","","
Reviewed: 24 April 2024
","2024-05-01T11:22:34.402Z"
"Susan","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Superb
"," 9.0 ","Location","Overpriced- breakfast should not be compulsory charge for early flight","
Reviewed: 24 April 2024
","2024-05-01T11:22:34.402Z"
"Ian","https://lh3.googleusercontent.com/a/ACg8ocLSfrF3eoq1gw6B450NuTfF0a8reDvKHb70vRF95UJx=s96-c","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Overall, convenient and relaxing
"," 8.0 ","Close proximity to airport","The price of drinks. £11 for a glass of wine is exorbitant.","
Reviewed: 23 April 2024
","2024-05-01T11:22:34.402Z"
"Vicks","https://lh4.googleusercontent.com/-bGwA8FNnkiQ/AAAAAAAAAAI/AAAAAAAAAAA/AGi4gfwKnNwDXIkBf5XLo6Yh9TWtATzdJA/s96-c/photo.jpg","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Couple

","
Nice clean comfortable but very costly
"," 8.0 ","Location bed was super comfortable","Very expensive","
Reviewed: 23 April 2024
","2024-05-01T11:22:34.402Z"
"Mguy61","https://lh4.googleusercontent.com/-LtnvtJrtmpE/AAAAAAAAAAI/AAAAAAAAAAs/ot6M8VzBSgk/photo.jpg?sz=50","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Couple

","
Comfortable, friendly, modern
"," 8.0 ","Clean, modern hotel with super friendly staff.","Breakfast could have had healthier options. Car parking expensive.","
Reviewed: 22 April 2024
","2024-05-01T11:22:34.402Z"
"Petr","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                Czech Republic","






Twin Room


","




1 night · 

April 2024


","




Solo traveller

","
Rest before departure
"," 9.0 ","Fast check-in and out. Professional and helpfull staff. Room ligtning was very good. Room was clean and beds comfortamble as well as the bathroom was well equipped. Location of the hotel allowed fast access by walk to the departure hall. Thank you for a good stay.","Here only to complain a bit abot the size of the room as there was not a good space between table and bed and not comfortable to sit behingd the table.","
Reviewed: 22 April 2024
","2024-05-01T11:22:45.049Z"
"Ben","https://cf.bstatic.com/static/img/review/avatars/ava-b/8103dfb0481c4cedc201d849f5666a270512f538.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Solo traveller

","
My Stay at Hamption by Hilton Bristol Airport
"," 8.0 ","Hotel is very well located being a couple of minutes walk to the terminal. Staff was very friendly and chatty. Glad they had gym facility, can do some workout on the spin bike or treadmill.","The air conditioning system wasn't working in the room I was assigned, had to swap rooms and staff was helpful to sort that issue. I didn't find the bed to comfy, didn't sleep well, it felt a bit hard, in my opinion.","
Reviewed: 21 April 2024
","2024-05-01T11:22:45.049Z"
"Allyn","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Family

","
Overnight stay
"," 8.0 ","Great rooms","Had to move your car after arriving after 1 hr. Right pain especially when it's raining. Needs more choice on menu","
Reviewed: 21 April 2024
","2024-05-01T11:22:45.049Z"
"Guillaume","https://cf.bstatic.com/static/img/review/avatars/ava-g/d2bf46fbe4c12e06481303d85f49f125e18fbd39.png","
                                    
                                France","






Queen Room


","




1 night · 

April 2024


","




Family

","
Superb
"," 9.0 ","Close to the airport. Clean room","the shower drain was clogged","
Reviewed: 21 April 2024
","2024-05-01T11:22:45.049Z"
"Nicole","https://cf.bstatic.com/static/img/review/avatars/ava-n/d3882ab9674d57559f4b0ecc7f2b01ecbc7a8057.png","
                                    
                                France","






Twin Room


","




1 night · 

April 2024


","




Family

","
Superb
"," 9.0 ","Friendly accommodating staff everywhere you went who would go out of their way to help you.","Menu a little limited especially for people with dietary needs but otherwise excellent.","
Reviewed: 21 April 2024
","2024-05-01T11:22:45.049Z"
"Shona","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Couple

","
Enjoyable
"," 8.0 ","Breakfast was amazing , staff friendly ,","Hard beds","
Reviewed: 20 April 2024
","2024-05-01T11:22:45.049Z"
"James","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Couple

","
does what it says on the can
"," 9.0 ","basic but clean","disabled room","
Reviewed: 20 April 2024
","2024-05-01T11:22:45.049Z"
"Renato","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Overall very good
"," 8.0 ","Location excellent 
Staff friendly and efficient","Air conditioning in our room didn’t work","
Reviewed: 19 April 2024
","2024-05-01T11:22:45.049Z"
"Kate","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","
                                    
                                France","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Clean, convenient and comfortable.  I would stay there again
"," 9.0 ","Clean, close to the terminal and better facilities than expected","The hotel website does not make it clear that food is available in the evening or that there is a bar so we purchased an M&S picnic which wasted some time for us.  You could make that more explicit on your website","
Reviewed: 19 April 2024
","2024-05-01T11:22:45.049Z"
"Jane","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

April 2024


","




Couple

","
We had a good sleep which was the main purpose for the stay.
"," 9.0 ","Very quiet rooms, very comfortable beds and exceptionally clean.","The take-away breakfast was poor - very unappetising - but we had no other choice as we had an early departure from the airport.","
Reviewed: 19 April 2024
","2024-05-01T11:22:45.049Z"
"Graham","https://cf.bstatic.com/static/img/review/avatars/ava-g/d2bf46fbe4c12e06481303d85f49f125e18fbd39.png","
                                    
                                New Zealand","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Very good
"," 8.0 ","Ideal for its proximity to Bristol Airport for our early morning flight.","","
Reviewed: 18 April 2024
","2024-05-01T11:22:56.668Z"
"Sharon","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Great hotel for Bristol Airport
"," 9.0 ","Very close to Bristol airport. Comfortable stay. Can get continental breakfast from 4m.","N/A","
Reviewed: 17 April 2024
","2024-05-01T11:22:56.668Z"
"Sophie","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Good
"," 7.0 ","The close proximity to the airport","Not really Worth the price paid for one night, very basic & bar very expensive","
Reviewed: 17 April 2024
","2024-05-01T11:22:56.668Z"
"Andy","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

March 2024


","




Solo traveller

","
Very good
"," 8.0 ","Breakfast was basic at 5.00am.","","
Reviewed: 15 April 2024
","2024-05-01T11:22:56.668Z"
"David","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Couple

","
Adequate airport hotel
"," 8.0 ","Breakfast good.","Bedroom carpet could have been cleaner.","
Reviewed: 15 April 2024
","2024-05-01T11:22:56.668Z"
"Jill","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                Isle of Man","






Twin Room


","




1 night · 

April 2024


","




Solo traveller

","
I enjoyed a short restful stay with the bonus close proximity to the airport for my morning flight.
"," 8.0 ","Friendly, welcoming, helpful , polite members of staff. 
 Extensive selection of breakfast food and good choices of meals / snacks on other menus.
Clean, comfortable room facilities.","If rooms with baths are available , I prefer a bath and a shower.","
Reviewed: 14 April 2024
","2024-05-01T11:22:56.668Z"
"William","https://lh3.googleusercontent.com/a/AEdFTp4pISqY2X8F2so4WvrXE8G0LxCem7ptEZX78Vb4=s96-c","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Good
"," 8.0 ","Situation. Room very clean and well appointed. Dinner was good.","Poor selection for early risers needing to grab breakfast to go. Only croissants available. Also, room price expensive but balanced by ease of access to airport terminal.","
Reviewed: 14 April 2024
","2024-05-01T11:22:56.668Z"
"Ruth","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

February 2024


","




Family

","
Always clean & friendly, great breakfast
"," 9.0 ","Clean room, quiet and great breakfast","Detour in the rain as rear entrance was closed was not appreciated in the middle of the night with luggage & child in tow!","
Reviewed: 13 April 2024
","2024-05-01T11:22:56.668Z"
"Samantha","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

March 2024


","




Couple

","
Very good
"," 8.0 ","Breakfast was great","Fire alarm going off at 6.45am!","
Reviewed: 12 April 2024
","2024-05-01T11:22:56.668Z"
"Sarah","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

March 2024


","




Family

","
Great location and as such you do pay a premium
"," 7.0 ","Location to airport","A bit expensive","
Reviewed: 11 April 2024
","2024-05-01T11:22:56.668Z"
"Shane","https://graph.facebook.com/v2.9/10226496664621046/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Family

","
Close to airport
"," 7.0 ","Good breakfast 
Airport hotel very noisy because of lots of people leaving all time in the night and and early morning","","
Reviewed: 11 April 2024
","2024-05-01T11:23:08.045Z"
"Carolyn","https://lh4.googleusercontent.com/-0am7DolQTa8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfviRH3AoHxdEAY3T0QThhfVOL6kg/photo.jpg","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

February 2024


","




Couple

","
Superb
"," 9.0 ","All as expected, stayed here numerous times 
And always had the best service.","N/a","
Reviewed: 11 April 2024
","2024-05-01T11:23:08.045Z"
"John","https://lh5.googleusercontent.com/-_I_ZiuPYadw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLp7Pb_MYaCtrkI8XeEX04LoGcXg/s96-c/photo.jpg","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Solo traveller

","
Fine. As expected.
"," 9.0 ","Friendly staff, comfortable room, good breakfast, perfect location","The price is rather high for the quality here.  It is within easy walking distance of the terminal, so perhaps worth it, but it seems to me they are milking a captive audience. I f you want to stay at Bristol airport, you have to stay here, and you are paying substantially more than the quality would otherwise demand for that.  The biggest other problem is that the parking situation is awful. The parking at Bristol is abysmal, and it would be really helpful if the hotel parking was at least competitive, pricewise. Going away for a three or four day  business trip,  you really want to be able to park at the hotel and pick up your car their upon return. At the current pricing this is not practical,","
Reviewed: 11 April 2024
","2024-05-01T11:23:08.045Z"
"Linda","https://cf.bstatic.com/static/img/review/avatars/ava-l/c9a51000ce90cbf81dcc81b847f9bccc3330d3a4.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

March 2024


","




Couple

","
Had a good stay would recommend
"," 8.0 ","Had a continental breakfast was very good","More choice for evening meal","
Reviewed: 11 April 2024
","2024-05-01T11:23:08.045Z"
"Keiath","https://lh5.googleusercontent.com/-H6c4JCcQh6k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbTSw6KS9J0I9FmDTMgpGtnxheRA/s96-c/photo.jpg","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

March 2024


","




Solo traveller

","
Very good
"," 8.0 ","local tomairport","","
Reviewed: 11 April 2024
","2024-05-01T11:23:08.045Z"
"Peter","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Couple

","
Fit for purpose rip
"," 9.0 ","Not much","Airport hotel, captive audience, fish in a barrel to catch early flight","
Reviewed: 10 April 2024
","2024-05-01T11:23:08.045Z"
"Charlotte","https://lh3.googleusercontent.com/a/AATXAJwDizs6olQ4KSuTcKQYZ3cju4OJB0DoJks3zKra=s96-c","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Family

","
Lovely, helpful staff, clean comfortable rooms and a great breakfast (and waffle irons!)
"," 9.0 ","It was nice, modern and the rooms were lovely, clean and high quality. The room was all ready for us to stay so we just came in and went straight to bed, after a long journey.","The bed was quite firm, but that’s just personal preference. The air con in the room was a bit noisy, so we ended up switching it off.","
Reviewed: 9 April 2024
","2024-05-01T11:23:08.045Z"
"Ian","https://graph.facebook.com/v2.9/10218383910138553/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Ok
"," 8.0 ","Proximity from airport","Not enough milk in room","
Reviewed: 9 April 2024
","2024-05-01T11:23:08.045Z"
"Rebekah","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Group

","
Very good
"," 8.0 ","Food in the evening was a decent standard would have been good if they accepted cash rather than just card.","","
Reviewed: 9 April 2024
","2024-05-01T11:23:08.045Z"
"Diane","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Served its purpose for next day flight
"," 9.0 ","Everything","Nothing","
Reviewed: 8 April 2024
","2024-05-01T11:23:08.045Z"
"Nele","https://cf.bstatic.com/static/img/review/avatars/ava-n/d3882ab9674d57559f4b0ecc7f2b01ecbc7a8057.png","
                                    
                                Germany","






Queen Connecting Room - Mobility Accessible


","




1 night · 

April 2024


","




Family

","
Comfortable place to stay when arroving late or leaving early
"," 8.0 ","Walking distance from the terminal, very friendy staff, clean and good breakfast!","No family rooms - we had to book two (adjoining) roms which makes it a little pricy.","
Reviewed: 8 April 2024
","2024-05-01T11:23:19.206Z"
"Alessio","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                Italy","






Twin Room


","




1 night · 

April 2024


","




Solo traveller

","
Perfect for an early-morning flight.
"," 7.0 ","Early breakfast (from 4.00 am) is a great idea ! Wifi was quite fast and stable. 4-minutes walk to the Airport is a great advantage.","Price was a bit too high.","
Reviewed: 8 April 2024
","2024-05-01T11:23:19.206Z"
"Heidi","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Superb
"," 9.0 ","Very clean. Breakfast even at 4.30am","","
Reviewed: 8 April 2024
","2024-05-01T11:23:19.206Z"
"Ian","https://lh3.googleusercontent.com/a-/AOh14Gh5XSkjLvpKuh7VclVmH5rqOvMJZ-iZCaOblxZ4LqA=s96-c","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Convenient and comfortable
"," 8.0 ","Very convenient for the terminal. Good continental breakfast at 5 AM. Comfortable room. Quiet","","
Reviewed: 6 April 2024
","2024-05-01T11:23:19.206Z"
"Alison","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Family

","
Lovely hotel.  Great room and breakfast. Parking pricey
"," 8.0 ","I liked the helpful staff at reception. The room is very clean. Bedding comfortable. Tea facility good. No complaints at all. The room was also quiet which is very important to me. Great breakfast too.
My only complaint is we had to pay £45 for our car park in the hotel, from approximately 10 pm till 6am.  I think it’s expensive tbh.","Parking overnight was £45  - too expensive","
Reviewed: 6 April 2024
","2024-05-01T11:23:19.206Z"
"Catherine","https://cf.bstatic.com/static/img/review/avatars/ava-c/315f92289c481a16de5ee7737aa1b5fd531afcce.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

March 2024


","




Family

","
Great location for an overnight stay before your flight
"," 8.0 ","Friendly, welcoming staff at reception.  Our room was clean and comfortable.
Perfect location for an overnight stay before an early morning check in.  Breakfast was included.","","
Reviewed: 6 April 2024
","2024-05-01T11:23:19.206Z"
"Leonie","https://cf.bstatic.com/static/img/review/avatars/ava-l/c9a51000ce90cbf81dcc81b847f9bccc3330d3a4.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Really good
"," 9.0 ","Extremely convenient for airport as on site. Very quiet too. Comfortable beds, lovely linen, pillow a bit hard for me but now I’m being fussy!","I think if hadn’t got time or timing didn’t work out ,to have breakfast it would be a bit galling to have no option to not purchase breakfast as included in price.","
Reviewed: 6 April 2024
","2024-05-01T11:23:19.206Z"
"Emma","https://cf.bstatic.com/static/img/review/avatars/ava-e/8d80ab6bf73fa873e990c76bfc96a1bf23708307.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Family

","
Excellent value for money for early transfers from Bristol airport
"," 9.0 ","Easy to find, great accessibility to Bristol airport and super friendly and informative staff","","
Reviewed: 6 April 2024
","2024-05-01T11:23:19.206Z"
"Jacqueline","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Very satisfactory
"," 8.0 ","The proximity to the airport. Clean room and given a ground floor room in view of husband’s walkingdifficulty","Nothing really. All was as expected","
Reviewed: 5 April 2024
","2024-05-01T11:23:19.206Z"
"Dainis","https://graph.facebook.com/v2.9/1661079848/picture?type=square&height=64&width=64","
                                    
                                Latvia","






Queen Room with Sofa Bed


","




1 night · 

March 2024


","




Couple

","
Good but expensive option for connection flight for one night.
"," 8.0 ","Really close to airport (by walk 3-5 min under roof, it was raining so it helps). Little gym, but nothing to see around. We stay just for overnight and this was ok.","Breakfast could be better for this money (we paid 200 eur per night).","
Reviewed: 5 April 2024
","2024-05-01T11:23:19.206Z"
"Sales","https://lh3.googleusercontent.com/a/ACg8ocImcgpv8AohcYclCChQM24K-v41bABVGP14CHawjpPXoXA=s96-c","
                                    
                                Ireland","






Queen Room


","




1 night · 

April 2024


","




Solo traveller

","
Very good
"," 8.0 ","","Poor Food Selection","
Reviewed: 5 April 2024
","2024-05-01T11:23:31.252Z"
"Emma","https://cf.bstatic.com/static/img/review/avatars/ava-e/8d80ab6bf73fa873e990c76bfc96a1bf23708307.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

March 2024


","




Family

","
Clean ,comfortable and pleasant
"," 9.0 ","Breakfast buffet at 4 in the morning was excellent i I wasn't expecting anything to be open that time,considering we had to be at the the airport at 5 room was clean&comfortable","Nothing really but if  anything woukd like to see a bit more on the dinner menu as not many options","
Reviewed: 4 April 2024
","2024-05-01T11:23:31.252Z"
"Jon","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

March 2024


","




Family

","
Great staff and location, room lovely and clean. Uncomfortable pillows made for restless night.
"," 7.0 ","Staff were lovely. Location is brilliant, food and drink were great.","We found the pillows very uncomfortable, so didn’t sleep very well.","
Reviewed: 4 April 2024
","2024-05-01T11:23:31.252Z"
